Total Notes, Normal Hits, Good Hits, Perfect Hits, Miss Hits, Total Hits, Percent hit, Participant Number,Controller Type
109,26,59,12,12,97,88.99082,1,Keyboard
109,26,55,20,8,101,92.66055,1,Playstation
109,30,60,10,9,100,91.74412,1,Xbox
109,33,50,2,24,85,77.98165,2,Keyboard
109,30,37,5,37,72,66.05505,2,Playstation
109,34,54,7,14,95,87.15596,2,Xbox
109,24,64,11,10,99,90.82569,3,Keyboard
109,31,47,19,12,97,88.99082,3,Playstation
109,29,44,3,33,76,69.72477,3,Xbox
109,30,45,6,28,81,74.31192,4,Keyboard
109,23,58,14,14,95,87.15596,4,Playstation
109,33,47,10,19,90,82.56881,4,Xbox
109,27,44,8,24,79,72.47707,5,Keyboard
109,41,48,6,7,95,87.15596,5,Playstation
109,31,52,9,17,92,84.40367,5,Xbox
109,10,60,29,4,99,90.82569,6,Keyboard
109,10,62,22,8,94,86.23853,6,Playstation
109,26,54,11,18,91,83.48624,6,Xbox
109,46,33,9,21,88,80.73394,7,Keyboard
109,36,42,11,20,89,81.65137,7,Playstation
109,10,66,22,11,98,89.90826,7,Xbox
109,30,49,10,20,89,81.65137,9,Keyboard
109,23,47,13,26,83,76.14679,9,Playstation
109,13,47,18,31,78,71.55963,9,Xbox
109,17,27,16,49,60,55.04587,10,Keyboard
109,21,33,11,44,65,59.63303,10,Playstation
109,20,59,14,16,93,85.3211,10,Xbox
109,19,23,7,60,49,44.95413,11,Keyboard
109,24,20,7,58,51,46.78899,11,Playstation
109,24,39,7,39,70,64.22018,11,Xbox
109,21,47,19,22,87,79.81651,12,Keyboard
109,24,35,9,41,68,62.38532,12,Playstation
109,23,40,4,42,67,61.46789,12,Xbox
109,21,57,20,11,98,89.90826,13,Keyboard
109,23,47,22,17,92,84.40367,13,Playstation
109,24,40,9,36,73,66.97248,13,Xbox
